,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
111,4rs0jr2tC1Qg32Fm7zfdsT,0.831,0.556,8.0,-7.841,1.0,0.0704,0.0778,0.000397,0.0884,0.779,154.98,154839.0,4.0
112,4uzjXVcYivDXD5FHKwVVTR,0.52,0.754,5.0,-5.918,0.0,0.344,0.255,0.0,0.0807,0.295,111.908,199084.0,5.0
113,37yAd2kwEI9axbB6UznrOQ,0.791,0.427,10.0,-7.427,0.0,0.158,0.643,6.17e-05,0.167,0.38,140.055,184901.0,4.0
114,6a3kNt1UlUOapDKmEr3JzZ,0.806,0.565,11.0,-8.96,0.0,0.113,0.47,0.0,0.0824,0.311,116.963,195734.0,4.0
115,2pPO9YecZimmuVQfIzfV6U,0.734,0.855,6.0,-4.578,0.0,0.135,0.0821,4.73e-06,0.0901,0.54,121.955,139563.0,4.0
116,4hSJUp6k7QeHLxU32MrLIU,0.807,0.535,11.0,-6.519,0.0,0.349,0.191,0.0,0.125,0.925,156.013,125720.0,4.0
117,7jtQIBanIiJOMS6RyCx6jZ,0.442,0.538,4.0,-8.55,0.0,0.0451,0.717,2.95e-05,0.09,0.139,122.758,244360.0,4.0
118,5SFXOMJJ334Wn2PwBHeRZN,0.444,0.648,1.0,-4.955,1.0,0.0476,0.288,0.0,0.059,0.171,125.706,189000.0,5.0
119,26hbmLeqiz8loWjFshsegF,0.841,0.55,6.0,-6.534,0.0,0.262,0.33,0.0,0.0932,0.692,109.9,176520.0,4.0
120,3RcXFW8aiRYHRaDDYBqJ76,0.751,0.751,11.0,-3.848,1.0,0.0475,0.383,0.0,0.261,0.414,132.103,148346.0,4.0
121,4Lt6GXGzYsa1tgkv3nGSTm,0.738,0.85,8.0,-3.049,1.0,0.0642,0.105,0.0,0.23,0.865,98.013,192921.0,4.0
122,6j0l7Hjt6qeDCQnYBZuJXY,0.83,0.796,5.0,-4.578,1.0,0.12,0.0248,5.68e-05,0.0622,0.422,128.021,164560.0,4.0
123,7MC4XR9M9amdmKQr2iDF7i,0.862,0.753,5.0,-5.356,1.0,0.0625,0.131,2.01e-06,0.077,0.827,105.039,182857.0,4.0
124,6i7zAdNhzUN2k1HcrBxPHG,0.798,0.828,2.0,-5.36,1.0,0.193,0.0247,2.55e-06,0.121,0.6,124.962,156960.0,4.0
125,2k3eSZAcD5asE39rpNQUOU,0.658,0.746,1.0,-8.487,1.0,0.238,0.0449,0.0,0.0961,0.33,92.24,123609.0,4.0
126,5QEqzFV7R8KSSCJa37tfvs,0.683,0.699,8.0,-4.519,0.0,0.218,0.252,0.0,0.218,0.315,160.102,169191.0,4.0
127,1uAOCTevGnyKIDbgZdOCnE,0.447,0.337,2.0,-8.665,0.0,0.0631,0.773,0.0,0.298,0.603,135.379,176816.0,4.0
128,7mEDVrAHDnQJStDo8jKJJm,0.527,0.737,4.0,-5.34,1.0,0.0642,0.05,7.85e-05,0.105,0.499,116.431,172675.0,4.0
129,6riWD7fUly0edv1gUZaguM,0.551,0.693,5.0,-4.757,1.0,0.034,0.0476,2.4e-06,0.146,0.193,80.088,176507.0,4.0
130,6A8B1kJ9ZNHbl2uFPN6Wtm,0.571,0.955,7.0,-3.795,1.0,0.105,0.00254,1.55e-06,0.274,0.437,98.01,177790.0,4.0
131,1bwhDrXcAtqePp8mNJ0pTe,0.805,0.637,6.0,-6.515,1.0,0.0869,0.228,0.0,0.071,0.678,140.045,179427.0,4.0
132,3MvY2XbGYFi6p2dgmdcOYG,0.534,0.365,9.0,-9.187,0.0,0.033,0.81,2.52e-06,0.158,0.237,123.466,183707.0,4.0
133,5qqQgao22OUr6rx3y0TPIe,0.66,0.664,9.0,-7.78,0.0,0.134,0.00395,0.0,0.832,0.621,113.994,181547.0,4.0
134,0fukO3WYYUHaXOrvEohpEG,0.721,0.588,4.0,-7.801,0.0,0.0501,0.37,0.00208,0.1,0.276,150.031,263577.0,4.0
135,1Ox6RIOerYvgRH9AxIl4DO,0.667,0.449,7.0,-7.363,1.0,0.0334,0.772,0.0,0.0947,0.427,93.999,198708.0,4.0
136,559RWsQqSe4fNUffI9P7mW,0.763,0.87,8.0,-4.493,0.0,0.107,0.148,0.0,0.277,0.783,111.988,178500.0,4.0
137,7HXBG0W8gFJwHUh5mVF9tf,0.689,0.612,6.0,-6.014,1.0,0.0387,0.228,7.77e-06,0.368,0.461,122.076,193018.0,4.0
138,3wuvVwA5RaifHz1uqKac8P,0.706,0.675,4.0,-5.756,0.0,0.0386,0.0128,0.000355,0.263,0.463,99.942,160981.0,4.0
139,6Vcxzw4ifKqYxVrp3ckpVF,0.774,0.583,0.0,-8.649,1.0,0.169,0.422,1.55e-05,0.145,0.323,148.018,201427.0,4.0
140,4O0LQKVT6hGmVGNwizmydg,0.798,0.621,2.0,-6.916,0.0,0.0391,0.0141,0.000148,0.0926,0.443,123.038,166000.0,4.0
141,5zxZ7M4RgWZUHlMEwac8vt,0.503,0.759,10.0,-5.222,0.0,0.0423,0.00237,1.06e-06,0.13,0.396,90.015,184000.0,4.0
142,3Iba59sFmGhQ4kbCY5L8AX,0.689,0.706,1.0,-4.48,0.0,0.0312,0.0833,0.0,0.105,0.623,106.52,226268.0,4.0
143,0ij4IjHf1J5gEz7vdX6fAk,0.511,0.772,5.0,-6.935,1.0,0.0567,0.00484,0.000401,0.13,0.459,169.956,219463.0,4.0
144,3F1P0QzdXtBz0MXy7KIO5w,0.868,0.693,6.0,-7.052,0.0,0.181,0.0597,0.00399,0.106,0.396,114.999,156911.0,4.0
145,7dMOzsTZOUtOF7W5kLN0gf,0.826,0.799,5.0,-6.12,1.0,0.0594,0.0477,0.00206,0.125,0.628,115.004,180522.0,4.0
146,2vd2HEhrkafOi2uveHjzzh,0.825,0.878,9.0,-5.485,0.0,0.186,0.128,8.94e-05,0.0963,0.847,126.994,197520.0,4.0
147,0qxLQ6opocOGyFnlXqJ53x,0.601,0.36,9.0,-7.791,0.0,0.0877,0.586,0.0,0.0882,0.335,124.993,276480.0,4.0
