,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
119,1ABG6ke9SdUK9YayVafbcX,0.635,0.573,2.0,-4.114,0.0,0.0279,0.397,0.0,0.133,0.403,125.946,204933.0,4.0
120,0z58HQdBeOGPCveLYfX6lO,0.375,0.906,7.0,-3.977,1.0,0.138,0.0984,1.45e-06,0.0855,0.279,172.292,187272.0,4.0
121,1tzTlRMcw9xDqrNRzj3H2g,0.745,0.861,9.0,-6.807,0.0,0.0356,0.00718,0.111,0.387,0.749,137.031,215474.0,4.0
122,7x2kUv1fUZRjz7w2hwJuke,0.706,0.457,7.0,-15.603,0.0,0.365,0.428,0.0,0.262,0.864,79.863,148245.0,4.0
123,36ONZ2CvV8KsLPapNPGTqa,0.715,0.839,5.0,-2.35,0.0,0.0602,0.524,0.0,0.266,0.539,111.371,126707.0,4.0
124,0gCOqruLa3pfDG73U7x5Hy,0.855,0.841,9.0,-6.613,0.0,0.0366,0.396,0.0015,0.584,0.838,130.011,180923.0,4.0
125,1ghdJUMhmLEpUitNwyNMWH,0.413,0.902,6.0,-3.488,1.0,0.0649,0.000214,2.49e-05,0.165,0.398,160.271,156000.0,4.0
126,6D2tOVX5MMl8jNVkwsFaWg,0.831,0.76,6.0,-4.184,1.0,0.0807,0.167,0.0,0.0871,0.865,113.969,146813.0,4.0
127,7t3fuKd5h73oppjIgkxZ25,0.821,0.773,11.0,-3.631,0.0,0.0487,0.0184,0.0,0.074,0.962,128.827,150827.0,4.0
128,2Du09hJBFkE49xA4JqWvXS,0.713,0.873,5.0,-2.933,1.0,0.0545,0.0268,0.0,0.108,0.522,103.019,153947.0,4.0
129,75umLiTzkHFJfVWBeAsg0o,0.804,0.825,11.0,-5.935,1.0,0.161,0.0848,0.0,0.11,0.817,151.153,197086.0,4.0
130,16hvqSkpxHjYssBox5awFr,0.79,0.405,4.0,-9.833,0.0,0.0393,0.00235,0.0,0.507,0.471,126.984,183307.0,4.0
131,0e3CM2Fm4cpDtxjzYkdLAr,0.797,0.649,3.0,-5.506,0.0,0.182,0.24,0.0012,0.153,0.437,117.971,200212.0,4.0
132,3UJgH1Ll2cwP9I6dtfKKfd,0.672,0.525,10.0,-6.603,0.0,0.0542,0.0903,0.0,0.0655,0.208,159.107,114717.0,4.0
133,1qNe5rzjYah7emeSt96L6n,0.717,0.691,6.0,-6.298,0.0,0.0717,0.111,0.0,0.0914,0.708,155.303,134100.0,4.0
134,3bghEsjRvDLVt6PE3Loc4G,0.469,0.661,4.0,-5.164,1.0,0.0525,0.0142,0.000112,0.0962,0.402,115.091,238512.0,4.0
135,6riWD7fUly0edv1gUZaguM,0.551,0.693,5.0,-4.757,1.0,0.034,0.0476,2.4e-06,0.146,0.193,80.088,176507.0,4.0
136,5Q5A1Ej3bqhlTmr7I0DbS8,0.533,0.52,11.0,-10.101,0.0,0.0455,0.831,0.00365,0.148,0.233,89.943,149333.0,4.0
137,1hzH0NQm9erD5oVP6Ky0fx,0.734,0.738,11.0,-10.24,1.0,0.105,0.00558,0.825,0.0815,0.174,126.015,129149.0,4.0
138,6N2rMGXBhNZ6slxJcp1E7z,0.693,0.916,1.0,-3.569,0.0,0.113,0.0286,0.666,0.301,0.723,144.044,181255.0,4.0
139,3N1D4VrIeFeZyraFaIOakm,0.967,0.495,6.0,-6.934,1.0,0.106,0.126,0.0,0.0826,0.824,116.332,252000.0,4.0
140,7pgF8R3LBSoYGR4JtN9fTn,0.8,0.79,5.0,-2.357,1.0,0.0899,0.0383,0.0,0.046,0.827,122.987,213720.0,4.0
141,2Gk2OTsCi4Mmoa99ejmV79,0.642,0.666,2.0,-7.006,0.0,0.0351,0.11,0.000636,0.108,0.242,130.0,236308.0,4.0
142,2rCbl9naJYhaxjLsfx88uM,0.715,0.622,4.0,-5.102,0.0,0.046,0.163,0.0,0.0948,0.808,80.015,195053.0,4.0
143,1u73tmG4xQschbK8cXxSD9,0.796,0.552,0.0,-7.226,1.0,0.0314,0.00113,0.0101,0.0876,0.468,123.004,493796.0,4.0
144,6BUzrHikNeeXB2HrnB0OBn,0.917,0.63,10.0,-8.557,0.0,0.275,0.0106,8.85e-05,0.141,0.697,117.993,141000.0,4.0
145,71R8HJxQk5qMiRstrlXN9t,0.54,0.455,3.0,-5.988,1.0,0.224,0.675,1.08e-05,0.12,0.432,83.876,212032.0,4.0
146,2fpKvUg9hxiKAOLuwfEdlJ,0.635,0.682,10.0,-6.86,1.0,0.271,0.207,0.0,0.361,0.673,89.085,288282.0,4.0
147,2Vficy40iZyTKoAJNwLWzd,0.712,0.415,10.0,-5.466,1.0,0.0323,0.536,0.0,0.0829,0.635,125.029,205387.0,4.0
148,341B11g1euMFUUI9eP0A7X,0.848,0.682,6.0,-6.506,0.0,0.116,0.0248,0.0761,0.0501,0.89,110.036,135288.0,4.0
149,4OwhwvKESFtuu06dTgct7i,0.75,0.522,9.0,-7.018,1.0,0.0293,0.282,0.0,0.0743,0.601,110.427,321556.0,4.0
150,3a9LFom8qDQ7g4akARwnlR,0.827,0.613,0.0,-4.202,1.0,0.0285,0.182,0.0,0.207,0.558,105.982,226981.0,4.0
151,5jzEwSyyymBlf1fa1o39T2,0.818,0.673,4.0,-7.542,0.0,0.148,0.348,0.0,0.172,0.695,87.961,193636.0,4.0
152,7DFSnCBYlus7i4U9KKlbdU,0.862,0.671,4.0,-6.576,0.0,0.0995,0.258,0.00274,0.0744,0.82,115.952,237053.0,4.0
153,6UU24wuWgGwuSBAxDH866Z,0.936,0.825,1.0,-4.928,1.0,0.189,0.00612,0.0017,0.0703,0.843,123.991,233301.0,4.0
154,2f0Ft2XdvNSMSY5TUlZgEz,0.278,0.572,7.0,-8.295,1.0,0.0407,0.392,0.0,0.063,0.311,95.351,253760.0,3.0
155,4H3t8C59tXjKf1R2iKtc5M,0.673,0.326,0.0,-7.481,1.0,0.0348,0.696,3.73e-06,0.103,0.672,133.309,189408.0,4.0
156,1AP7yzd4qSdKVcupPC827R,0.79,0.939,6.0,-1.802,0.0,0.0571,0.549,0.218,0.636,0.403,102.044,175266.0,4.0
157,7Bk0uXKk1uPT0XuQbpFzvs,0.849,0.701,6.0,-4.407,0.0,0.06,0.407,0.0,0.112,0.505,98.005,261667.0,4.0
158,70j3mcY8rH01gQzS01Ix7Q,0.764,0.499,1.0,-7.863,0.0,0.0782,0.346,0.0,0.297,0.315,124.12,180000.0,4.0
159,2dNhNlpZAtV4lwAFW45LIv,0.83,0.517,6.0,-6.416,0.0,0.333,0.399,8.95e-05,0.0916,0.616,171.959,182496.0,4.0
160,3MvpSDePWyiVxheU1eff6L,0.74,0.673,0.0,-2.872,1.0,0.102,0.232,4.45e-06,0.12,0.698,180.026,198592.0,4.0
161,6tDDoYIxWvMLTdKpjFkc1B,0.653,0.524,11.0,-9.016,0.0,0.0502,0.112,0.0,0.203,0.553,83.97,160191.0,4.0
162,5iF33sXejXwfTuidVHMll0,0.788,0.771,0.0,-4.048,1.0,0.0562,0.0452,0.0,0.103,0.785,91.945,169560.0,4.0
163,4DHDIdeayp8xvlyg22wREO,0.908,0.813,5.0,-2.749,0.0,0.0777,0.305,0.0,0.278,0.924,97.018,200785.0,4.0
164,5u7twkeask1VIyDeNTElSU,0.786,0.899,10.0,-0.515,1.0,0.127,0.192,0.000189,0.299,0.813,90.025,216510.0,4.0
165,4emicu3yCflgo7z6cAuw5j,0.516,0.871,10.0,-3.261,1.0,0.041,0.00114,0.0,0.0877,0.457,134.021,221760.0,4.0
166,7H0ya83CMmgFcOhw0UB6ow,0.508,0.792,0.0,-7.311,0.0,0.0297,0.229,0.124,0.145,0.601,147.067,320467.0,4.0
167,37BZB0z9T8Xu7U3e65qxFy,0.65,0.825,0.0,-4.645,1.0,0.0325,0.0215,2.44e-05,0.0936,0.593,118.091,191014.0,4.0
168,3iJya7m7trpGv570Ske30n,0.207,0.243,10.0,-8.181,1.0,0.0306,0.925,0.0342,0.118,0.394,171.648,185176.0,4.0
169,0cOa970mzTWAxKtltpkpLc,0.85,0.541,2.0,-4.522,1.0,0.0674,0.161,5.01e-06,0.286,0.916,92.003,165275.0,4.0
170,20RGQHWvqyyacpuxMBeLsZ,0.909,0.636,10.0,-6.659,1.0,0.191,0.279,0.00068,0.0779,0.554,100.01,237900.0,4.0
